,x,y,comment_class,active_district
0,37.612415999999996,55.777454000000006,-1,0
1,37.612415999999996,55.777454000000006,-1,0
2,37.603297999999995,55.742107999999995,-1,0
4,37.566431,55.731793999999994,-1,0
6,37.566431,55.731793999999994,-1,0
9,37.565767,55.734567000000006,-1,0
10,37.588853,55.78932,-1,0
11,37.55964,55.768831000000006,-1,0
15,37.620177000000005,55.771145,-1,0
16,37.620177000000005,55.771145,-1,0
17,37.698142,55.774679000000006,-1,1
18,37.708015,55.772907,-1,1
19,37.662461,55.732185,-1,1
20,37.659729999999996,55.736235,-1,1
22,37.628190000000004,55.7684,-1,0
23,37.628424,55.76888100000001,-1,0
24,37.588916,55.74198199999999,-1,0
25,37.588916,55.74198199999999,-1,0
26,37.588916,55.74198199999999,-1,0
27,37.590183,55.741606999999995,-1,0
28,37.588916,55.74198199999999,1,0
29,37.580256,55.73898199999999,-1,0
30,37.589311,55.734272999999995,-1,0
32,37.566431,55.731793999999994,-1,0
33,37.589311,55.734272999999995,-1,0
35,37.566431,55.731793999999994,-1,0
36,37.589311,55.734272999999995,-1,0
38,37.566431,55.731793999999994,-1,0
39,37.589311,55.734272999999995,-1,0
41,37.566431,55.731793999999994,-1,0
42,37.589311,55.734272999999995,-1,0
44,37.566431,55.731793999999994,-1,0
45,37.589311,55.734272999999995,1,0
47,37.566431,55.731793999999994,1,0
48,37.589311,55.734272999999995,-1,0
50,37.566431,55.731793999999994,-1,0
52,37.589311,55.734272999999995,-1,0
54,37.566431,55.731793999999994,-1,0
55,37.589311,55.734272999999995,-1,0
57,37.566431,55.731793999999994,-1,0
58,37.589311,55.734272999999995,-1,0
60,37.566431,55.731793999999994,-1,0
61,37.589311,55.734272999999995,1,0
63,37.566431,55.731793999999994,1,0
64,37.589311,55.734272999999995,1,0
66,37.566431,55.731793999999994,1,0
67,37.589311,55.734272999999995,1,0
69,37.566431,55.731793999999994,1,0
70,37.589311,55.734272999999995,-1,0
72,37.566431,55.731793999999994,-1,0
73,37.589311,55.734272999999995,1,0
75,37.566431,55.731793999999994,1,0
76,37.589311,55.734272999999995,-1,0
78,37.566431,55.731793999999994,-1,0
79,37.589311,55.734272999999995,-1,0
81,37.566431,55.731793999999994,-1,0
82,37.589311,55.734272999999995,-1,0
84,37.566431,55.731793999999994,-1,0
85,37.589311,55.734272999999995,-1,0
87,37.566431,55.731793999999994,-1,0
88,37.589311,55.734272999999995,1,0
90,37.566431,55.731793999999994,1,0
91,37.589311,55.734272999999995,-1,0
93,37.566431,55.731793999999994,-1,0
94,37.589311,55.734272999999995,-1,0
96,37.566431,55.731793999999994,-1,0
97,37.589311,55.734272999999995,-1,0
99,37.566431,55.731793999999994,-1,0
100,37.580104,55.740274,-1,0
101,37.589311,55.734272999999995,-1,0
103,37.566431,55.731793999999994,-1,0
104,37.589311,55.734272999999995,-1,0
106,37.566431,55.731793999999994,-1,0
107,37.589311,55.734272999999995,-1,0
109,37.566431,55.731793999999994,-1,0
110,37.589311,55.734272999999995,-1,0
112,37.566431,55.731793999999994,-1,0
113,37.589311,55.734272999999995,-1,0
115,37.566431,55.731793999999994,-1,0
116,37.589311,55.734272999999995,-1,0
118,37.566431,55.731793999999994,-1,0
119,37.589311,55.734272999999995,-1,0
121,37.566431,55.731793999999994,-1,0
122,37.589311,55.734272999999995,-1,0
124,37.566431,55.731793999999994,-1,0
